Year,Org Name,Org Code,Spec Ed. Grad Rate - Grad Cohort #,Spec Ed. Grad Rate - Grad #,Spec Ed. Grad Rate - Grad %,Spec Ed. Dropout - Enr #,Spec Ed. Dropout - Drop #,Spec Ed. Dropout - Drop %,LRE Ages 6-21 - Students #,LRE Ages 6-21 - Full Incl #,LRE Ages 6-21 - Full Incl %,LRE Ages 3-5 - Students #,LRE Ages 3-5 - Full Incl #,LRE Ages 3-5 - Full Incl %,Cohort Completion Year,Substantial growth of knowledge & skills,Survey Period,Surv Meet Std #,Surv Meet Std %,Sch Yr Rev,# of Students Engaged,Dist Rate
2012,Billerica,310000,86,59,68.60%,190,8,4.20%,1027,529,51.50%,144,29,20.10%,2010-11,91.7,Spring 2011,40,93%,2012-13,NR,NR
2013,Billerica,310000,62,37,59.70%,156,2,1.30%,949,528,55.60%,132,79,59.80%,2010-11,91.7,Spring 2011,40,93%,2012-13,18,90%
2012,Boston,350000,885,380,42.90%,2852,69,2.40%,9457,2197,23.20%,1067,26,2.40%,All Indica,83.3,Spring 2012,140,87%,2011-12,31,91.20%
2013,Boston,350000,918,411,44.80%,2855,11,0.40%,9597,2626,27.40%,1228,31,2.50%,All Indica,77.9,Spring 2013,95,85.50%,2012-13,62,89.90%
2012,Bourne,360000,30,25,83.30%,80,1,1.30%,313,217,69.30%,32,0,0%,2013-14,-,Spring 2012,42,74%,2011-12,9,100%
2013,Bourne,360000,28,21,75%,61,7,11.50%,272,198,72.80%,30,15,50%,2013-14,-,Spring 2012,42,74%,2011-12,9,100%
2012,Boxborough,370000,NA,NA,NA,NA,NA,NA,46,28,60.90%,14,4,28.60%,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Boxborough,370000,NA,NA,NA,0,-,-,52,33,63.50%,11,4,36.40%,2014-15,-,Spring 2011,-,-,2012-13,NR,NR
2012,Dartmouth,720000,46,35,76.10%,97,5,5.20%,434,272,62.70%,32,2,6.30%,2012-13,83.3,Spring 2013,NA,NA,2010-11,4,100%
2012,Boxford,380000,NA,NA,NA,NA,NA,NA,128,95,74.20%,22,4,18.20%,2013-14,-,Spring 2012,30,94%,2011-12,NA,NA
2013,Boxford,380000,NA,NA,NA,0,-,-,111,93,83.80%,17,5,29.40%,2013-14,42.9,Spring 2012,30,94%,2011-12,NA,NA
2012,Boylston,390000,NA,NA,NA,NA,NA,NA,47,42,89.40%,9,0,0%,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Boylston,390000,NA,NA,NA,0,-,-,52,49,94.20%,5,-,-,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Braintree,400000,88,76,86.40%,238,2,0.80%,993,641,64.60%,143,37,25.90%,2013-14,-,Spring 2012,128,93%,2011-12,14,87.50%
2013,Braintree,400000,90,74,82.20%,275,2,0.70%,1018,650,63.90%,139,37,26.60%,2013-14,71.4,Spring 2012,128,93%,2011-12,14,87.50%
2012,Brewster,410000,NA,NA,NA,NA,NA,NA,52,46,88.50%,13,0,0%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2013,Brewster,410000,NA,NA,NA,0,-,-,45,42,93.30%,23,0,0%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2012,Brimfield,430000,NA,NA,NA,NA,NA,NA,35,29,82.90%,5,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Brimfield,430000,NA,NA,NA,0,-,-,36,32,88.90%,6,4,66.70%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Brockton,440000,176,79,44.90%,533,36,6.80%,1869,1227,65.70%,223,3,1.30%,2013-14,50,Spring 2012,132,84%,2011-12,12,66.70%
2013,Brockton,440000,159,66,41.50%,501,34,6.80%,1966,1247,63.40%,245,89,36.30%,2013-14,83.3,Spring 2012,132,84%,2011-12,12,66.70%
2012,Brookfield,450000,NA,NA,NA,NA,NA,NA,34,30,88.20%,7,0,0%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Brookfield,450000,NA,NA,NA,0,-,-,30,27,90%,8,6,75%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Brookline,460000,111,91,82%,276,1,0.40%,1053,735,69.80%,149,99,66.40%,2012-13,100,Spring 2013,NA,NA,2010-11,NA,NA
2013,Brookline,460000,100,78,78%,289,0,0%,1092,752,68.90%,150,85,56.70%,2012-13,100,Spring 2013,126,84%,2010-11,NA,NA
2012,Burlington,480000,50,36,72%,95,3,3.20%,422,279,66.10%,64,1,1.60%,2012-13,100,Spring 2013,NA,NA,2010-11,18,90%
2013,Burlington,480000,41,31,75.60%,99,0,0%,398,256,64.30%,78,11,14.10%,2012-13,100,Spring 2013,45,80.40%,2010-11,18,90%
2012,Cambridge,490000,131,91,69.50%,248,6,2.40%,1185,826,69.70%,142,0,0%,2011-12,-,Spring 2012,-,-,2009-10,3,100%
2013,Cambridge,490000,141,97,68.80%,228,5,2.20%,1169,826,70.70%,182,80,44%,2011-12,-,Spring 2012,-,-,2009-10,3,100%
2012,Canton,500000,32,28,87.50%,NA,NA,NA,408,266,65.20%,67,1,1.50%,2010-11,80,Spring 2011,18,64.30%,2012-13,NR,NR
2013,Canton,500000,29,18,62.10%,85,0,0%,405,262,64.70%,56,17,30.40%,2014-15,-,Spring 2011,18,64.30%,2012-13,3,100%
2012,Carlisle,510000,NA,NA,NA,NA,NA,NA,85,72,84.70%,18,12,66.70%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2013,Carlisle,510000,NA,NA,NA,0,-,-,74,59,79.70%,16,6,37.50%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2012,Carver,520000,23,12,52.20%,59,4,6.80%,256,156,60.90%,17,0,0%,2011-12,-,Spring 2012,-,-,2009-10,8,88.90%
2013,Carver,520000,32,22,68.80%,73,6,8.20%,276,180,65.20%,25,17,68%,2011-12,-,Spring 2012,-,-,2009-10,8,88.90%
2012,Chatham,550000,7,6,85.70%,32,0,0%,106,72,67.90%,12,7,58.30%,2010-11,-,Spring 2013,NA,NA,2010-11,5,71.40%
2012,Chelmsford,560000,50,40,80%,164,5,3%,667,390,58.50%,109,40,36.70%,2013-14,-,Spring 2012,61,85%,2011-12,54,100%
2013,Chelmsford,560000,56,42,75%,159,4,2.50%,710,429,60.40%,107,59,55.10%,2013-14,63.6,Spring 2012,61,85%,2011-12,54,100%
2012,Chelsea,570000,67,15,22.40%,145,1,0.70%,660,365,55.30%,52,0,0%,2011-12,-,Spring 2012,-,-,2009-10,2,66.70%
2013,Chelsea,570000,55,21,38.20%,137,0,0%,645,330,51.20%,66,1,1.50%,2011-12,-,Spring 2012,-,-,2009-10,2,66.70%
2012,Chicopee,610000,116,49,42.20%,394,31,7.90%,1183,652,55.10%,139,116,83.50%,2013-14,-,Spring 2012,67,86%,2011-12,36,78.30%
2013,Chicopee,610000,125,52,41.60%,421,31,7.40%,1204,693,57.60%,139,110,79.10%,2013-14,95.2,Spring 2012,67,86%,2011-12,36,78.30%
2012,Clarksburg,630000,NA,NA,NA,NA,NA,NA,26,19,73.10%,5,-,-,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Clarksburg,630000,1,-,-,0,-,-,40,30,75%,4,-,-,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Clinton,640000,24,15,62.50%,79,2,2.50%,314,216,68.80%,64,2,3.10%,2011-12,-,Spring 2012,17,74%,2009-10,8,80%
2013,Clinton,640000,27,18,66.70%,72,0,0%,322,216,67.10%,52,9,17.30%,2011-12,-,Spring 2012,17,74%,2009-10,8,80%
2012,Cohasset,650000,13,12,92.30%,NA,NA,NA,177,147,83.10%,19,0,0%,2012-13,-,Spring 2013,NA,NA,2010-11,3,100%
2013,Cohasset,650000,17,16,94.10%,42,0,0%,177,143,80.80%,31,0,0%,2012-13,-,Spring 2013,11,52.40%,2010-11,3,100%
2012,Concord,670000,NA,NA,NA,NA,NA,NA,336,224,66.70%,32,18,56.30%,2013-14,-,Spring 2012,42,79%,2011-12,NA,NA
2013,Concord,670000,NA,NA,NA,0,-,-,350,238,68%,48,19,39.60%,2013-14,-,Spring 2012,42,79%,2011-12,NA,NA
2012,Conway,680000,NA,NA,NA,NA,NA,NA,28,16,57.10%,6,0,0%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Conway,680000,NA,NA,NA,0,-,-,30,17,56.70%,3,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Danvers,710000,53,36,67.90%,167,6,3.60%,582,332,57%,56,2,3.60%,2011-12,-,Spring 2012,-,-,2009-10,5,100%
2013,Danvers,710000,55,33,60%,172,7,4.10%,570,325,57%,55,20,36.40%,2011-12,-,Spring 2012,-,-,2009-10,5,100%
2012,Dedham,730000,53,42,79.20%,132,4,3%,579,359,62%,84,48,57.10%,2010-11,62.5,Spring 2011,70,88.60%,2012-13,NR,NR
2013,Dedham,730000,41,30,73.20%,134,7,5.20%,568,356,62.70%,65,47,72.30%,2014-15,-,Spring 2011,70,88.60%,2012-13,14,100%
2012,Deerfield,740000,NA,NA,NA,NA,NA,NA,66,44,66.70%,13,0,0%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Deerfield,740000,NA,NA,NA,0,-,-,64,47,73.40%,10,6,60%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Douglas,770000,27,19,70.40%,54,4,7.40%,245,192,78.40%,15,0,0%,2010-11,-,Spring 2011,11,91.70%,2012-13,NR,NR
2013,Douglas,770000,20,13,65%,69,1,1.40%,233,191,82%,20,3,15%,2014-15,-,Spring 2011,11,91.70%,2012-13,8,100%
2012,Dover,780000,NA,NA,NA,NA,NA,NA,59,47,79.70%,9,1,11.10%,NA,NA,Spring 2011,-,-,2012-13,NR,NR
2013,Dover,780000,NA,NA,NA,0,-,-,60,43,71.70%,8,0,0%,2014-15,-,Spring 2011,-,-,2012-13,NR,NR
2012,Dracut,790000,35,22,62.90%,82,7,8.50%,436,260,59.60%,64,1,1.60%,2011-12,-,Spring 2012,8,62%,2009-10,NA,NA
2013,Dracut,790000,35,16,45.70%,73,8,11%,442,243,55%,71,21,29.60%,2011-12,-,Spring 2012,8,62%,2009-10,NA,NA
2012,Duxbury,820000,46,42,91.30%,96,1,1%,390,324,83.10%,27,13,48.10%,2011-12,-,Spring 2012,21,81%,2009-10,20,100%
2013,Duxbury,820000,48,44,91.70%,102,1,1%,389,327,84.10%,42,31,73.80%,2011-12,-,Spring 2012,21,81%,2009-10,20,100%
2012,East Bridgewater,830000,13,11,84.60%,44,3,6.80%,312,227,72.80%,50,15,30%,2010-11,90.5,Spring 2011,7,53.80%,2012-13,NR,NR
2013,East Bridgewater,830000,21,13,61.90%,54,1,1.90%,309,224,72.50%,42,27,64.30%,2014-15,-,Spring 2011,7,53.80%,2012-13,4,100%
2012,Eastham,850000,NA,NA,NA,NA,NA,NA,30,19,63.30%,6,0,0%,NA,NA,Spring 2012,-,-,2011-12,NA,NA
2013,Eastham,850000,NA,NA,NA,0,-,-,31,23,74.20%,3,-,-,NA,NA,Spring 2012,-,-,2011-12,NA,NA
2012,Easthampton,860000,24,19,79.20%,86,3,3.50%,304,199,65.50%,33,0,0%,2013-14,50,Spring 2012,-,-,2011-12,NA,NA
2013,Easthampton,860000,27,19,70.40%,74,3,4.10%,282,170,60.30%,24,3,12.50%,2013-14,50,Spring 2012,-,-,2011-12,NA,NA
2012,East Longmeadow,870000,62,53,85.50%,177,0,0%,542,325,60%,23,0,0%,2011-12,-,Spring 2012,-,-,2009-10,23,95.80%
2013,East Longmeadow,870000,68,60,88.20%,160,1,0.60%,525,327,62.30%,22,7,31.80%,2011-12,-,Spring 2012,-,-,2009-10,23,95.80%
2012,Easton,880000,63,54,85.70%,161,0,0%,656,474,72.30%,59,7,11.90%,2013-14,-,Spring 2012,54,90%,2011-12,40,100%
2013,Easton,880000,50,42,84%,167,2,1.20%,644,464,72%,60,27,45%,2013-14,-,Spring 2012,54,90%,2011-12,40,100%
2012,Edgartown,890000,NA,NA,NA,NA,NA,NA,59,31,52.50%,6,0,0%,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Edgartown,890000,NA,NA,NA,0,-,-,63,34,54%,5,-,-,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Erving,910000,NA,NA,NA,NA,NA,NA,27,13,48.10%,10,5,50%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2013,Erving,910000,1,-,-,0,-,-,30,17,56.70%,8,4,50%,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2012,Everett,930000,78,41,52.60%,215,0,0%,915,466,50.90%,97,56,57.70%,NA,NA,Spring 2011,13,86.70%,2012-13,NR,NR
2013,Everett,930000,91,53,58.20%,228,0,0%,910,480,52.70%,102,66,64.70%,2014-15,-,Spring 2011,13,86.60%,2012-13,8,80%
2012,Fairhaven,940000,26,17,65.40%,65,3,4.60%,271,216,79.70%,35,3,8.60%,2010-11,60,Spring 2011,8,72.70%,2012-13,NR,NR
2013,Fairhaven,940000,28,18,64.30%,77,0,0%,256,208,81.30%,26,2,7.70%,2014-15,-,Spring 2011,8,72.60%,2012-13,9,100%
2012,Fall River,950000,140,50,35.70%,496,42,8.50%,1894,1080,57%,205,22,10.70%,2012-13,94.1,Spring 2013,NA,NA,2010-11,5,83.30%
2013,Fall River,950000,183,87,47.50%,525,50,9.50%,2101,1234,58.70%,229,41,17.90%,2012-13,91.3,Spring 2013,87,85.20%,2010-11,5,83.30%
2012,Falmouth,960000,57,41,71.90%,128,3,2.30%,568,368,64.80%,66,3,4.50%,2012-13,85.7,Spring 2013,NA,NA,2010-11,11,100%
2013,Falmouth,960000,39,27,69.20%,131,6,4.60%,583,378,64.80%,65,12,18.50%,2012-13,85.7,Spring 2013,45,80.40%,2010-11,11,100%
2012,Fitchburg,970000,91,59,64.80%,244,26,10.70%,1027,429,41.80%,120,57,47.50%,2010-11,62.5,Spring 2011,-,-,2012-13,NR,NR
2013,Fitchburg,970000,116,70,60.30%,197,1,0.50%,927,372,40.10%,143,108,75.50%,2014-15,-,Spring 2011,-,-,2012-13,12,100%
2012,Florida,980000,NA,NA,NA,NA,NA,NA,17,17,100%,2,-,-,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Florida,980000,NA,NA,NA,0,-,-,16,16,100%,2,-,-,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Foxborough,990000,35,35,100%,135,1,0.70%,416,245,58.90%,40,20,50%,2012-13,-,Spring 2013,NA,NA,2010-11,8,100%
2013,Foxborough,990000,44,41,93.20%,145,3,2.10%,421,265,62.90%,32,18,56.30%,2012-13,75,Spring 2013,20,64.50%,2010-11,8,100%
2012,Framingham,1000000,138,102,73.90%,378,12,3.20%,1734,956,55.10%,196,48,24.50%,2013-14,72.7,Spring 2012,241,79%,2011-12,98,100%
2013,Framingham,1000000,142,90,63.40%,324,15,4.60%,1747,1003,57.40%,202,38,18.80%,2013-14,78.8,Spring 2012,241,79%,2011-12,98,100%
2012,Franklin,1010000,81,64,79%,263,4,1.50%,854,566,66.30%,87,2,2.30%,NA,NA,Spring 2011,231,86.80%,2012-13,NR,NR
2013,Franklin,1010000,90,67,74.40%,257,0,0%,851,604,71%,79,25,31.60%,2014-15,-,Spring 2011,231,86.70%,2012-13,50,100%
2012,Gardner,1030000,45,18,40%,96,12,12.50%,447,205,45.90%,67,40,59.70%,2012-13,73.3,Spring 2013,NA,NA,2010-11,2,100%
2013,Gardner,1030000,31,11,35.50%,99,11,11.10%,444,191,43%,76,58,76.30%,2012-13,70.6,Spring 2013,13,92.90%,2010-11,2,100%
2012,Georgetown,1050000,26,20,76.90%,67,1,1.50%,189,151,79.90%,32,18,56.30%,2011-12,-,Spring 2012,34,71%,2009-10,6,85.70%
2013,Georgetown,1050000,18,16,88.90%,64,0,0%,192,140,72.90%,32,11,34.40%,2011-12,94.4,Spring 2012,34,71%,2009-10,6,85.70%
2012,Gloucester,1070000,66,46,69.70%,218,15,6.90%,617,441,71.50%,70,25,35.70%,NA,NA,Spring 2011,30,85.70%,2012-13,NR,NR
2013,Gloucester,1070000,88,56,63.60%,222,2,0.90%,625,445,71.20%,57,19,33.30%,2014-15,-,Spring 2011,30,85.60%,2012-13,13,100%
2012,Gosnold,1090000,NA,NA,NA,NA,NA,NA,0,-,-,0,-,-,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2013,Gosnold,1090000,NA,NA,NA,0,-,-,NA,NA,NA,0,-,-,2013-14,-,Spring 2012,-,-,2011-12,NA,NA
2012,Grafton,1100000,29,20,69%,91,0,0%,402,186,46.30%,64,4,6.30%,NA,NA,Spring 2011,16,69.60%,2012-13,NR,NR
2013,Grafton,1100000,34,24,70.60%,84,1,1.20%,391,225,57.50%,64,25,39.10%,2014-15,-,Spring 2011,16,69.50%,2012-13,10,100%
2012,Granby,1110000,20,16,80%,NA,NA,NA,174,78,44.80%,18,0,0%,2013-14,-,Spring 2012,17,85%,2011-12,4,100%
2013,Granby,1110000,17,17,100%,51,0,0%,163,67,41.10%,13,1,7.70%,2013-14,-,Spring 2012,17,85%,2011-12,4,100%
2012,Granville,1120000,NA,NA,NA,NA,NA,NA,17,15,88.20%,2,-,-,NA,NA,Spring 2013,NA,NA,2010-11,NA,NA
2012,Greenfield,1140000,29,12,41.40%,62,3,4.80%,284,92,32.40%,35,0,0%,NA,NA,Spring 2011,9,75%,2012-13,NR,NR
2013,Greenfield,1140000,23,8,34.80%,72,8,11.10%,333,126,37.80%,49,31,63.30%,2014-15,-,Spring 2011,9,75%,2012-13,5,38.50%
2012,Hadley,1170000,10,8,80%,18,0,0%,70,58,82.90%,11,0,0%,2010-11,-,Spring 2011,-,-,2012-13,NR,NR
2013,Hadley,1170000,2,-,-,15,0,0%,64,55,85.90%,11,2,18.20%,2014-15,-,Spring 2011,-,-,2012-13,5,100%
2012,Halifax,1180000,1,-,-,NA,NA,NA,82,61,74.40%,4,-,-,NA,NA,Spring 2012,-,-,2011-12,NA,NA
2013,Halifax,1180000,NA,NA,NA,0,-,-,75,58,77.30%,7,4,57.10%,NA,NA,Spring 2012,-,-,2011-12,NA,NA
2012,Hancock,1210000,1,-,-,NA,NA,NA,3,-,-,0,-,-,2012-13,-,Spring 2013,NA,NA,2010-11,NA,NA
2013,Hancock,1210000,0,-,-,0,-,-,1,-,-,0,-,-,2012-13,-,Spring 2013,-,-,2010-11,NA,NA
2012,Hanover,1220000,21,18,85.70%,93,1,1.10%,389,301,77.40%,49,0,0%,2009-10,62.5,Spring 2011,34,85%,2012-13,NR,NR
2013,Hanover,1220000,25,22,88%,91,2,2.20%,367,293,79.80%,39,6,15.40%,2014-15,-,Spring 2011,34,85%,2012-13,2,100%
2012,Harvard,1250000,16,13,81.30%,48,0,0%,173,140,80.90%,14,1,7.10%,2010-11,0,Spring 2011,33,78.60%,2012-13,NR,NR
2013,Harvard,1250000,24,23,95.80%,42,1,2.40%,170,137,80.60%,15,4,26.70%,2014-15,-,Spring 2011,33,78.60%,2012-13,8,88.90%
2012,Harwich,1260000,12,9,75%,32,4,12.50%,167,111,66.50%,29,28,96.60%,2011-12,NA,Spring 2011,-,-,2012-13,NR,NR
2012,Hatfield,1270000,8,5,62.50%,NA,NA,NA,65,53,81.50%,4,-,-,2013-14,-,Spring 2012,-,-,2011-12,6,100%
2013,Hatfield,1270000,5,-,-,25,0,0%,63,51,81%,7,0,0%,2013-14,-,Spring 2012,-,-,2011-12,6,100%
2012,Haverhill,1280000,114,47,41.20%,411,13,3.20%,1387,558,40.20%,193,74,38.30%,2013-14,88.2,Spring 2012,95,83%,2011-12,16,88.90%
2013,Haverhill,1280000,105,43,41%,394,7,1.80%,1386,651,47%,203,89,43.80%,2013-14,89.7,Spring 2012,95,83%,2011-12,16,88.90%
2012,Hingham,1310000,53,44,83%,136,0,0%,532,460,86.50%,39,24,61.50%,2011-12,-,Spring 2012,69,89%,2009-10,8,72.70%
2013,Hingham,1310000,49,39,79.60%,141,0,0%,547,473,86.50%,38,23,60.50%,2011-12,-,Spring 2012,69,89%,2009-10,8,72.70%
2012,Holbrook,1330000,15,5,33.30%,30,5,16.70%,192,96,50%,33,9,27.30%,NA,NA,Spring 2011,12,85.70%,2012-13,NR,NR
2013,Holbrook,1330000,16,11,68.80%,31,0,0%,199,114,57.30%,37,13,35.10%,2014-15,92.3,Spring 2011,12,85.60%,2012-13,4,50%
2012,Holland,1350000,NA,NA,NA,NA,NA,NA,41,7,17.10%,4,-,-,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2013,Holland,1350000,NA,NA,NA,0,-,-,32,11,34.40%,6,2,33.30%,2011-12,-,Spring 2012,-,-,2009-10,NA,NA
2012,Holliston,1360000,35,33,94.30%,NA,NA,NA,417,280,67.10%,43,8,18.60%,2012-13,-,Spring 2013,NA,NA,2010-11,14,100%
2013,Holliston,1360000,55,43,78.20%,133,0,0%,438,273,62.30%,43,17,39.50%,2012-13,75,Spring 2013,6,54.50%,2010-11,14,100%
