Web link,URN,Provision type,Registration Status,Name,Address 1,Address 2,Town,County,Postcode,Government Office Region,Local authority,Sector,Places,Event type,Inspection date,Event number,Overall effectiveness,Outcomes for children and young people,Quality of care,Safeguarding children and young people,Leadership and management
Ofsted Social Care Provider Webpage,SC068991,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Cambridgeshire,Private,4,Full inspection,25/05/2016,10013971,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC069128,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Oxfordshire,Voluntary,7,Interim inspection,31/05/2016,10016063,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC069176,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Tameside,Private,4,Full inspection,05/05/2016,10013973,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC069178,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Suffolk,Private,6,Full inspection,15/09/2016,10013974,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC448615,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Plymouth,Local Authority,8,Monitoring inspection,06/04/2016,10018101,,,,,
Ofsted Social Care Provider Webpage,SC448693,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Brent,Private,4,Full inspection,26/08/2016,10014585,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC448997,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Kent,Private,2,Full inspection,17/08/2016,10014586,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC449096,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Durham,Local Authority,4,Full inspection,13/07/2016,10014587,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC449155,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,West Sussex,Private,4,Full inspection,19/07/2016,10014589,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC449245,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,2,Full inspection,13/09/2016,10014590,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC449307,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,7,Full inspection,27/07/2016,10014591,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC066821,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Cumbria,Private,14,Full inspection,19/05/2016,10013924,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC066881,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Telford and Wrekin,Private,2,Full inspection,21/09/2016,10013925,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC066897,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,31,Full inspection,14/09/2016,10013926,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC066912,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,2,Full inspection,25/05/2016,10013927,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC066916,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Liverpool,Private,4,Full inspection,13/07/2016,10013928,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC067052,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Bolton,Local Authority,4,Full inspection,02/06/2016,10013930,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC067151,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Bristol,Local Authority,5,Full inspection,24/08/2016,10013931,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC476259,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,4,Full inspection,10/06/2016,10014912,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC476262,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,5,Full inspection,05/05/2016,10014914,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC476267,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,5,Full inspection,17/08/2016,10014915,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC476270,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Walsall,Private,5,Full inspection,20/07/2016,10014916,Good,,,Outstanding,Good
Ofsted Social Care Provider Webpage,SC476286,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Leicestershire,Private,5,Full inspection,09/06/2016,10014918,Requires improvement,,,Requires improvement,Inadequate
Ofsted Social Care Provider Webpage,SC476289,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derbyshire,Private,5,Full inspection,25/08/2016,10014919,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC476292,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,5,Full inspection,26/05/2016,10014920,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC476303,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Gateshead,Private,3,Full inspection,25/05/2016,10014921,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC476326,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Shropshire,Private,5,Full inspection,25/08/2016,10014922,Requires improvement,,,Requires improvement,Inadequate
Ofsted Social Care Provider Webpage,SC476332,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derbyshire,Private,6,Full inspection,13/05/2016,10014923,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC476401,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Worcestershire,Private,5,Full inspection,29/06/2016,10014924,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC476401,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Worcestershire,Private,5,Monitoring inspection,17/05/2016,10018911,,,,,
Ofsted Social Care Provider Webpage,SC482668,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Coventry,Private,6,Full inspection,18/05/2016,10015060,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC415710,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Blackpool,Private,3,Full inspection,16/09/2016,10014372,Good,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC416267,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,2,Full inspection,13/07/2016,10014374,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC416464,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,2,Full inspection,21/04/2016,10014376,Requires improvement,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC417031,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Durham,Private,4,Full inspection,20/07/2016,10014380,Good,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC417250,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,West Berkshire,Private,4,Full inspection,29/09/2016,10014381,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC417351,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Essex,Private,3,Full inspection,17/06/2016,10014382,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC417371,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,West Sussex,Private,5,Interim inspection,30/06/2016,10016477,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC419229,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,3,Full inspection,09/06/2016,10014391,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC420066,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Trafford,Private,8,Full inspection,07/09/2016,10014396,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC420066,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Trafford,Private,8,Monitoring inspection,02/09/2016,10022120,,,,,
Ofsted Social Care Provider Webpage,SC420303,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Tower Hamlets,Private,5,Full inspection,12/08/2016,10014397,Outstanding,,,Outstanding,Good
Ofsted Social Care Provider Webpage,SC420587,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,South Tyneside,Voluntary,4,Full inspection,07/09/2016,10014400,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC421063,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Buckinghamshire,Private,4,Full inspection,28/07/2016,10014402,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC421197,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Lancashire,Private,4,Full inspection,27/04/2016,10014403,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC394909,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Newcastle upon Tyne,Private,6,Full inspection,10/08/2016,10014220,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC395716,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Hounslow,Private,3,Interim inspection,04/05/2016,10016311,Not judged,,,,
Ofsted Social Care Provider Webpage,SC396186,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Northamptonshire,Private,5,Full inspection,09/09/2016,10014224,Outstanding,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC396201,Children's home,Resigned,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Lancashire,Private,3,Full inspection,20/05/2016,10014225,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC396463,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Birmingham,Private,2,Full inspection,12/05/2016,10014226,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC396813,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,East Sussex,Voluntary,27,Full inspection,19/07/2016,10014229,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC397293,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derby,Local Authority,6,Full inspection,26/08/2016,10014232,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC397562,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Northamptonshire,Private,5,Full inspection,15/06/2016,10014234,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC397933,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Telford and Wrekin,Private,2,Full inspection,11/05/2016,10014235,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC397987,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Cheshire West and Chester,Private,2,Full inspection,19/05/2016,10014236,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC411832,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,London,Redbridge,Private,4,Full inspection,30/06/2016,10014343,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC412296,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,East Sussex,Private,3,Full inspection,26/08/2016,10014345,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC412296,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,East Sussex,Private,3,Monitoring inspection,27/06/2016,10021149,,,,,
Ofsted Social Care Provider Webpage,SC412476,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,4,Interim inspection,22/09/2016,10016439,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC066214,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Walsall,Local Authority,7,Full inspection,15/06/2016,10013908,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC066242,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Sefton,Private,2,Full inspection,28/07/2016,10013910,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC066250,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Bristol,Private,3,Monitoring inspection,07/09/2016,10022652,,,,,
Ofsted Social Care Provider Webpage,SC066250,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Bristol,Private,3,Full inspection,18/08/2016,10013911,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC066277,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Local Authority,9,Interim inspection,19/05/2016,10016002,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC066469,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Sheffield,Private,3,Full inspection,13/07/2016,10013917,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC066481,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,4,Monitoring inspection,26/08/2016,10022076,,,,,
Ofsted Social Care Provider Webpage,SC066481,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Hampshire,Private,4,Full inspection,15/07/2016,10013918,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC066565,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,North Lincolnshire,Private,26,Full inspection,06/07/2016,10013130,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC066747,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,Yorkshire and The Humber,Sheffield,Local Authority,5,Full inspection,06/04/2016,10013922,Requires improvement,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC457025,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Herefordshire,Private,4,Full inspection,25/08/2016,10014667,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC457068,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Herefordshire,Private,3,Full inspection,15/09/2016,10014668,Good,,,Requires improvement,Good
Ofsted Social Care Provider Webpage,SC457074,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Herefordshire,Private,4,Full inspection,29/09/2016,10014669,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC457132,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,1,Full inspection,04/05/2016,10014671,Good,,,Outstanding,Good
Ofsted Social Care Provider Webpage,SC429748,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Suffolk,Private,4,Full inspection,16/08/2016,10014459,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC429754,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Suffolk,Private,6,Full inspection,19/05/2016,10014460,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC456543,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,1,Interim inspection,01/04/2016,10008397,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC456602,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Durham,Private,3,Full inspection,01/06/2016,10014645,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC456724,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,West Sussex,Private,4,Full inspection,01/09/2016,10014648,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC456795,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Warrington,Private,1,Full inspection,28/09/2016,10014651,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC456850,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,1,Full inspection,12/08/2016,10014655,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC456857,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Rochdale,Private,1,Full inspection,23/08/2016,10014656,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC456911,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Cambridgeshire,Private,6,Full inspection,21/04/2016,10014659,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC456942,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Warrington,Private,1,Interim inspection,22/08/2016,10016761,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC456959,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North West,Warrington,Private,1,Interim inspection,14/09/2016,10016762,Sustained effectiveness,,,,
Ofsted Social Care Provider Webpage,SC457013,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Sandwell,Private,3,Full inspection,02/06/2016,10014665,Requires improvement,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC457015,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East of England,Essex,Private,2,Full inspection,11/08/2016,10014666,Requires improvement,,,Requires improvement,Requires improvement
Ofsted Social Care Provider Webpage,SC065046,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Bournemouth,Private,4,Full inspection,21/07/2016,10013868,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC403895,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Stoke-on-Trent,Local Authority,2,Full inspection,08/06/2016,10014281,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC403905,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Kent,Private,5,Full inspection,09/06/2016,10014282,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC403907,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Northamptonshire,Private,5,Full inspection,02/06/2016,10014283,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC404119,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottinghamshire,Private,1,Monitoring inspection,22/06/2016,10020521,,,,,
Ofsted Social Care Provider Webpage,SC404119,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Nottinghamshire,Private,1,Full inspection,27/04/2016,10014285,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC404596,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,East Midlands,Derbyshire,Private,56,Full inspection,13/07/2016,10014287,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC404983,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Staffordshire,Private,2,Interim inspection,25/07/2016,10016379,Improved effectiveness,,,,
Ofsted Social Care Provider Webpage,SC404993,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Dorset,Voluntary,36,Full inspection,29/09/2016,10022226,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC404993,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Dorset,Voluntary,36,Monitoring inspection,24/08/2016,10022225,,,,,
Ofsted Social Care Provider Webpage,SC404993,Residential special school (registered as a children's home),Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Dorset,Voluntary,36,Full inspection,20/07/2016,10014289,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC429762,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Hartlepool,Private,9,Full inspection,10/05/2016,10014461,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC429778,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Stockton-on-Tees,Private,15,Full inspection,26/04/2016,10014462,Good,,,Good,Good
Ofsted Social Care Provider Webpage,SC429918,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Warwickshire,Private,4,Full inspection,28/04/2016,10014463,Good,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC429995,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Durham,Private,4,Monitoring inspection,24/08/2016,10022241,,,,,
Ofsted Social Care Provider Webpage,SC458352,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South West,Devon,Private,3,Full inspection,10/06/2016,10014719,Good,,,Good,Requires improvement
Ofsted Social Care Provider Webpage,SC458415,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,North East,Durham,Voluntary,6,Full inspection,11/08/2016,10014720,Outstanding,,,Good,Good
Ofsted Social Care Provider Webpage,SC037381,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Reading,Local Authority,5,Full inspection,07/09/2016,10013565,Outstanding,,,Good,Outstanding
Ofsted Social Care Provider Webpage,SC037396,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Worcestershire,Local Authority,4,Full inspection,10/08/2016,10013566,Outstanding,,,Outstanding,Outstanding
Ofsted Social Care Provider Webpage,SC037423,Secure children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Surrey,Local Authority,7,Monitoring inspection,05/08/2016,10021863,,,,,
Ofsted Social Care Provider Webpage,SC037423,Secure children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,Surrey,Local Authority,7,Full inspection,29/06/2016,10010305,Inadequate,Requires improvement,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC037452,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,South East,West Sussex,Local Authority,6,Full inspection,22/09/2016,10013569,Inadequate,,,Inadequate,Inadequate
Ofsted Social Care Provider Webpage,SC037471,Children's home,Active,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,REDACTED,West Midlands,Worcestershire,Local Authority,4,Full inspection,03/08/2016,10013572,Outstanding,,,Outstanding,Outstanding
